areaname
"Abbeville County, SC"
"Hot Springs County, WY"
"Hot Springs, AR MSA"
"Houghton County, MI"
"Houma-Thibodaux, LA MSA"
"Houston County, TN"
"Houston County, TX"
"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area"
"Howard County, AR"
"Howard County, IA"
"Howard County, MO"
"Howard County, NE HUD Metro FMR Area"
"Howard County, TX"
"Howell County, MO"
"Hubbard County, MN"
"Hudspeth County, TX HUD Metro FMR Area"
"Huerfano County, CO"
"Hughes County, OK"
"Hughes County, SD"
"Humboldt County, CA"
"Humboldt County, IA"
"Humboldt County, NV"
"Humphreys County, MS"
"Humphreys County, TN"
"Huntingdon County, PA"
"Huntington County, IN"
"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area"
"Huntsville, AL MSA"
"Huron County, MI"
"Huron County, OH"
"Hutchinson County, SD"
"Hutchinson County, TX"
"Hyde County, NC"
"Hyde County, SD"
"Iberia Parish, LA HUD Metro FMR Area"
"Iberville Parish, LA HUD Metro FMR Area"
"Ida County, IA"
"Idaho County, ID"
"Idaho Falls, ID HUD Metro FMR Area"
"Independence County, AR"
"Indiana County, PA"
"Indianapolis-Carmel, IN HUD Metro FMR Area"
"Inyo County, CA"
"Ionia County, MI"
"Iosco County, MI"
"Iowa City, IA HUD Metro FMR Area"
"Iowa County, IA"
"Iowa County, WI HUD Metro FMR Area"
"Iredell County, NC HUD Metro FMR Area"
"Iron County, MI"
"Iron County, MO"
"Iron County, UT"
"Iron County, WI"
"Iroquois County, IL"
"Irwin County, GA"
"Isabella County, MI"
"Island County, WA"
"Issaquena County, MS"
"Itasca County, MN"
"Itawamba County, MS"
"Ithaca, NY MSA"
"Izard County, AR"
"Jack County, TX"
"Jackson County, AL"
"Jackson County, AR"
"Jackson County, CO"
"Jackson County, FL"
"Jackson County, GA"
"Jackson County, IA"
"Jackson County, IL HUD Metro FMR Area"
"Jackson County, IN"
"Jackson County, KY"
"Jackson County, MN"
"Jackson County, NC"
"Jackson County, OH"
"Jackson County, OK"
"Jackson County, SD"
"Jackson County, TN"
"Jackson County, TX"
"Jackson County, WI"
"Jackson County, WV"
"Jackson Parish, LA"
"Jackson, MI MSA"
"Jackson, MS HUD Metro FMR Area"
"Jackson, TN HUD Metro FMR Area"
"Jacksonville, FL HUD Metro FMR Area"
"Jacksonville, NC MSA"
"Janesville-Beloit, WI MSA"
"Jasper County, IA"
"Jasper County, IL"
"Jasper County, IN HUD Metro FMR Area"
"Jasper County, MS"
"Jasper County, SC HUD Metro FMR Area"
"Jasper County, TX"
"Jay County, IN"
"Jeff Davis County, GA"
"Jeff Davis County, TX"
"Jefferson City, MO HUD Metro FMR Area"
"Jefferson County, GA"
"Jefferson County, IA"
"Jefferson County, IL"
"Jefferson County, IN"
"Jefferson County, MS"
"Jefferson County, MT"
"Jefferson County, NE"
"Jefferson County, OK"
"Jefferson County, OR"
"Jefferson County, PA"
"Jefferson County, WA"
"Jefferson County, WI"
"Jefferson County, WV HUD Metro FMR Area"
"Jefferson Davis County, MS"
"Jefferson Davis Parish, LA"
"Jenkins County, GA"
"Jennings County, IN"
"Jerauld County, SD"
"Jerome County, ID HUD Metro FMR Area"
"Jersey City, NJ HUD Metro FMR Area"
"Jewell County, KS"
"Jim Hogg County, TX"
"Jim Wells County, TX"
"Jo Daviess County, IL"
"Johnson City, TN MSA"
"Johnson County, AR"
"Johnson County, GA"
"Johnson County, IL"
"Johnson County, KY"
"Johnson County, MO"
"Johnson County, NE"
"Johnson County, TN"
"Johnson County, WY"
"Johnston County, OK"
"Johnstown, PA MSA"
"Jones County, IA HUD Metro FMR Area"
"Jones County, MS"
"Jones County, NC HUD Metro FMR Area"
"Jones County, SD"
"Jonesboro, AR HUD Metro FMR Area"
"Joplin, MO MSA"
"Judith Basin County, MT"
"Juneau City and Borough, AK"
"Juneau County, WI"
"Juniata County, PA"
"Kahului-Wailuku-Lahaina, HI MSA"
"Kalamazoo-Portage, MI MSA"
"Kalkaska County, MI"
"Kanabec County, MN"
"Kandiyohi County, MN"
"Kane County, UT"
"Kankakee, IL MSA"
"Kansas City, MO-KS HUD Metro FMR Area"
"Karnes County, TX"
"Kauai County, HI"
"Kay County, OK"
"Kearney County, NE"
"Kearny County, KS"
"Keith County, NE"
"Kemper County, MS"
"Kenai Peninsula Borough, AK"
"Kendall County, IL HUD Metro FMR Area"
"Kendall County, TX HUD Metro FMR Area"
"Kenedy County, TX"
"Kennebec County, ME"
"Kennewick-Richland, WA MSA"
"Kenosha County, WI HUD Metro FMR Area"
"Kent County, MD"
"Kent County, TX"
"Keokuk County, IA"
"Kerr County, TX"
"Kershaw County, SC HUD Metro FMR Area"
"Ketchikan Gateway Borough, AK"
"Keweenaw County, MI"
"Keya Paha County, NE"
"Kidder County, ND"
"Killeen-Temple, TX HUD Metro FMR Area"
"Kimball County, NE"
"Kimble County, TX"
"King County, TX"
"King George County, VA"
"King and Queen County, VA"
"Kingfisher County, OK"
"Kingman County, KS HUD Metro FMR Area"
"Kingsbury County, SD"
"Kingsport-Bristol-Bristol, TN-VA MSA"
"Kingston, NY MSA"
"Kinney County, TX"
"Kiowa County, CO"
"Kiowa County, KS"
"Kiowa County, OK"
"Kit Carson County, CO"
"Kittitas County, WA"
"Kittson County, MN"
"Klamath County, OR"
"Kleberg County, TX"
"Klickitat County, WA"
"Knott County, KY"
"Knox County, IL"
"Knox County, IN"
"Knox County, KY"
"Knox County, ME"
"Knox County, MO"
"Knox County, NE"
"Knox County, OH"
"Knox County, TX"
"Knoxville, TN HUD Metro FMR Area"
"Kodiak Island Borough, AK"
"Kokomo, IN MSA"
"Koochiching County, MN"
"Kosciusko County, IN"
"Kossuth County, IA"
Kusilvak Census Area
"La Crosse-Onalaska, WI-MN MSA"
"La Paz County, AZ"
"La Plata County, CO"
"La Salle County, IL"
"La Salle County, TX"
"La Salle Parish, LA"
"LaGrange County, IN"
"LaMoure County, ND"
"Labette County, KS"
"Lac qui Parle County, MN"
"Laclede County, MO"
"Lafayette County, AR"
"Lafayette County, FL"
"Lafayette County, MS"
"Lafayette County, WI"
"Lafayette, LA HUD Metro FMR Area"
"Lafayette-West Lafayette, IN HUD Metro FMR Area"
"Lake Charles, LA MSA"
"Lake County, CA"
"Lake County, CO"
"Lake County, MI"
"Lake County, MN"
"Lake County, MT"
"Lake County, OR"
"Lake County, SD"
"Lake County, TN"
"Lake Havasu City-Kingman, AZ MSA"
"Lake and Peninsula Borough, AK"
"Lake of the Woods County, MN"
"Lakeland-Winter Haven, FL MSA"
"Lamar County, AL"
"Lamar County, GA HUD Metro FMR Area"
"Lamar County, TX"
"Lamb County, TX"
"Lamoille County, VT"
"Lampasas County, TX HUD Metro FMR Area"
"Lancaster County, SC HUD Metro FMR Area"
"Lancaster County, VA"
"Lancaster, PA MSA"
"Lander County, NV"
"Lane County, KS"
"Langlade County, WI"
"Lansing-East Lansing, MI MSA"
"Laredo, TX MSA"
"Las Animas County, CO"
"Las Cruces, NM MSA"
"Las Vegas-Henderson-Paradise, NV MSA"
"Lassen County, CA"
"Latah County, ID"
"Latimer County, OK"
"Lauderdale County, MS"
"Lauderdale County, TN"
"Laurel County, KY"
"Laurens County, GA"
"Laurens County, SC HUD Metro FMR Area"
"Lavaca County, TX"
"Lawrence County, AR"
"Lawrence County, IL"
"Lawrence County, IN"
"Lawrence County, KY"
"Lawrence County, MO"
"Lawrence County, MS"
"Lawrence County, PA"
"Lawrence County, SD"
"Lawrence County, TN"
"Lawrence, KS MSA"
"Lawton, OK HUD Metro FMR Area"
"Le Flore County, OK HUD Metro FMR Area"
"Le Sueur County, MN HUD Metro FMR Area"
"Lea County, NM"
"Leake County, MS"
"Lebanon, PA MSA"
"Lee County, AR"
"Lee County, IA"
"Lee County, IL"
"Lee County, KY"
"Lee County, MS"
"Lee County, NC"
"Lee County, SC"
"Lee County, TX"
"Lee County, VA"
"Leelanau County, MI"
"Leflore County, MS"
"Lemhi County, ID"
"Lenawee County, MI"
"Lenoir County, NC"
"Leon County, TX"
"Leslie County, KY"
"Letcher County, KY"
"Levy County, FL"
"Lewis County, ID"
"Lewis County, KY"
"Lewis County, MO"
"Lewis County, NY"
"Lewis County, TN"
"Lewis County, WA"
"Lewis County, WV"
"Lewis and Clark County, MT"
"Lewiston, ID-WA MSA"
"Lewiston-Auburn, ME MSA"
"Lexington-Fayette, KY MSA"
"Liberty County, FL"
"Liberty County, MT"
"Lima, OH MSA"
"Limestone County, TX"
"Lincoln County, CO"
"Lincoln County, GA HUD Metro FMR Area"
"Lincoln County, ID"
"Lincoln County, KS"
"Lincoln County, KY"
"Lincoln County, ME"
"Lincoln County, MN"
"Lincoln County, MS"
"Lincoln County, MT"
"Lincoln County, NC HUD Metro FMR Area"
"Lincoln County, NE"
"Lincoln County, NM"
"Lincoln County, NV"
"Lincoln County, OK HUD Metro FMR Area"
"Lincoln County, OR"
"Lincoln County, TN"
"Lincoln County, WA"
"Lincoln County, WI"
"Lincoln County, WV HUD Metro FMR Area"
"Lincoln County, WY"
"Lincoln Parish, LA"
"Lincoln, NE HUD Metro FMR Area"
"Linn County, MO"
"Lipscomb County, TX"
"Litchfield County, CT"
"Little River County, AR HUD Metro FMR Area"
"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area"
"Live Oak County, TX"
"Livingston County, IL"
"Livingston County, KY"
"Livingston County, MI HUD Metro FMR Area"
"Livingston County, MO"
"Llano County, TX"
"Logan County, AR"
"Logan County, CO"
"Logan County, IL"
"Logan County, KS"
"Logan County, KY"
"Logan County, ND"
"Logan County, NE"
"Logan County, OH"
"Logan County, WV"
"Logan, UT-ID MSA"
"Long County, GA HUD Metro FMR Area"
"Longview, TX HUD Metro FMR Area"
"Longview, WA MSA"
"Los Alamos County, NM"
"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area"
"Louisa County, IA"
"Louisa County, VA"
"Louisville, KY-IN HUD Metro FMR Area"
"Loup County, NE"
"Love County, OK"
"Loving County, TX"
"Lowndes County, MS"
"Lubbock, TX HUD Metro FMR Area"
"Lucas County, IA"
"Luce County, MI"
"Lumpkin County, GA"
"Luna County, NM"
"Lunenburg County, VA"
"Lyman County, SD"
"Lynchburg, VA MSA"
"Lynn County, TX HUD Metro FMR Area"
"Lyon County, IA"
"Lyon County, KS"
"Lyon County, KY"
"Lyon County, MN"
"Lyon County, NV"
"Mackinac County, MI"
"Macon County, AL"
"Macon County, GA"
"Macon County, MO"
"Macon County, NC"
"Macon County, TN HUD Metro FMR Area"
"Macon-Bibb County, GA HUD Metro FMR Area"
"Macoupin County, IL HUD Metro FMR Area"
"Madera, CA MSA"
"Madison County, FL"
"Madison County, ID"
"Madison County, KY"
"Madison County, MO"
"Madison County, MT"
"Madison County, NE"
"Madison County, TX"
"Madison County, VA"
"Madison Parish, LA"
"Madison, WI HUD Metro FMR Area"
"Magoffin County, KY"
"Mahaska County, IA"
"Mahnomen County, MN"
"Major County, OK"
"Malheur County, OR"
"Manchester, NH HUD Metro FMR Area | Nashua, NH HUD Metro FMR Area | Hillsborough County, NH (part) HUD Metro FMR Area |"
"Manhattan, KS MSA"
"Manistee County, MI"
"Manitowoc County, WI"
"Mankato-North Mankato, MN MSA"
"Mansfield, OH MSA"
"Marengo County, AL"
"Maries County, MO"
"Marinette County, WI"
"Marion County, AL"
"Marion County, AR"
"Marion County, IA"
"Marion County, IL"
"Marion County, KS"
"Marion County, KY"
"Marion County, MO"
"Marion County, MS"
"Marion County, OH"
"Marion County, SC"
"Marion County, TX"
"Marion County, WV"
"Mariposa County, CA"
"Marlboro County, SC"
"Marquette County, MI"
"Marquette County, WI"
"Marshall County, AL"
"Marshall County, IA"
"Marshall County, IN"
"Marshall County, KS"
"Marshall County, KY"
"Marshall County, MN"
"Marshall County, MS HUD Metro FMR Area"
"Marshall County, OK"
"Marshall County, SD"
"Marshall County, TN"
"Martin County, IN"
"Martin County, KY"
"Martin County, MN"
"Martin County, NC"
"Martin County, TX HUD Metro FMR Area"
"Martinsburg, WV HUD Metro FMR Area"
"Mason County, IL"
"Mason County, KY"
"Mason County, MI"
"Mason County, TX"
"Mason County, WA"
"Mason County, WV"
"Massac County, IL"
"Matagorda County, TX"
"Matanuska-Susitna Borough, AK HUD Metro FMR Area"
"Maury County, TN HUD Metro FMR Area"
"Maverick County, TX"
"Mayes County, OK"
"McAllen-Edinburg-Mission, TX MSA"
"McCone County, MT"
"McCormick County, SC"
"McCracken County, KY"
"McCreary County, KY"
"McCulloch County, TX"
"McCurtain County, OK"
"McDonald County, MO HUD Metro FMR Area"
"McDonough County, IL"
"McDowell County, NC"
"McDowell County, WV"
"McHenry County, ND"
"McIntosh County, ND"
"McIntosh County, OK"
"McKean County, PA"
"McKenzie County, ND"
"McKinley County, NM"
"McLean County, ND"
"McLeod County, MN"
"McMinn County, TN"
"McMullen County, TX"
"McNairy County, TN"
"McPherson County, KS"
"McPherson County, NE"
"McPherson County, SD"
"Meade County, KS"
"Meade County, KY HUD Metro FMR Area"
"Meade County, SD HUD Metro FMR Area"
"Meagher County, MT"
"Mecklenburg County, VA"
"Mecosta County, MI"
"Medford, OR MSA"
"Medina County, TX HUD Metro FMR Area"
"Meeker County, MN"
"Meigs County, OH"
"Meigs County, TN"
"Mellette County, SD"
"Memphis, TN-MS-AR HUD Metro FMR Area"
"Menard County, TX"
"Mendocino County, CA"
"Menifee County, KY"
"Menominee County, MI"
"Menominee County, WI"
"Merced, CA MSA"
"Mercer County, KY"
"Mercer County, MO"
"Mercer County, ND"
"Mercer County, OH"
"Mercer County, WV"
"Meriwether County, GA HUD Metro FMR Area"
"Merrick County, NE HUD Metro FMR Area"
"Merrimack County, NH"
"Metcalfe County, KY"
"Miami County, IN"
"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area"
"Michigan City-La Porte, IN MSA"
"Middlesex County, VA"
"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area"
"Midland, MI MSA"
"Midland, TX HUD Metro FMR Area"
"Mifflin County, PA"
"Milam County, TX"
"Milford-Ansonia-Seymour, CT HUD Metro FMR Area | New Haven-Meriden, CT HUD Metro FMR Area | Waterbury, CT HUD Metro FMR Area |"
"Millard County, UT"
"Mille Lacs County, MN HUD Metro FMR Area"
"Miller County, GA"
"Miller County, MO"
"Mills County, TX"
"Milwaukee-Waukesha-West Allis, WI MSA"
"Miner County, SD"
"Mineral County, CO"
"Mineral County, MT"
"Mineral County, NV"
"Mingo County, WV"
"Minidoka County, ID"
"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area"
"Missaukee County, MI"
"Mississippi County, AR"
"Mississippi County, MO"
"Missoula, MT MSA"
"Mitchell County, GA"
"Mitchell County, IA"
"Mitchell County, KS"
"Mitchell County, NC"
"Mitchell County, TX"
"Mobile, AL MSA"
"Modesto, CA MSA"
"Modoc County, CA"
"Moffat County, CO"
"Moniteau County, MO HUD Metro FMR Area"
"Monmouth-Ocean, NJ HUD Metro FMR Area"
"Mono County, CA"
"Monona County, IA"
"Monroe County, AL"
"Monroe County, AR"
"Monroe County, FL"
"Monroe County, GA HUD Metro FMR Area"
"Monroe County, IA"
"Monroe County, KY"
"Monroe County, MO"
"Monroe County, MS"
"Monroe County, OH"
"Monroe County, TN"
"Monroe County, WI"
"Monroe County, WV"
"Monroe, LA MSA"
"Monroe, MI MSA"
"Montague County, TX"
"Montcalm County, MI HUD Metro FMR Area"
"Montezuma County, CO"
"Montgomery County, AR"
"Montgomery County, GA"
"Montgomery County, IA"
"Montgomery County, IL"
"Montgomery County, IN"
"Montgomery County, KS"
"Montgomery County, KY"
"Montgomery County, MO"
"Montgomery County, MS"
"Montgomery County, NC"
"Montgomery County, NY"
"Montgomery, AL MSA"
"Montmorency County, MI"
"Montour County, PA HUD Metro FMR Area"
"Montrose County, CO"
"Moody County, SD"
"Moore County, NC"
"Moore County, TN"
"Moore County, TX"
"Mora County, NM"
"Morehouse Parish, LA"
"Morgan County, CO"
"Morgan County, GA HUD Metro FMR Area"
"Morgan County, IL"
"Morgan County, KY"
"Morgan County, MO"
"Morgan County, OH"
"Morgan County, TN HUD Metro FMR Area"
"Morgan County, WV"
"Morgantown, WV MSA"
"Morrill County, NE"
"Morris County, KS"
"Morris County, TX"
"Morrison County, MN"
"Morristown, TN MSA"
"Morrow County, OR"
"Morton County, KS"
"Motley County, TX"
"Moultrie County, IL"
"Mount Vernon-Anacortes, WA MSA"
"Mountrail County, ND"
"Mower County, MN"
"Muhlenberg County, KY"
"Muncie, IN MSA"
"Murray County, GA HUD Metro FMR Area"
"Murray County, MN"
"Murray County, OK"
"Muscatine County, IA"
"Muskegon, MI MSA"
"Muskingum County, OH"
"Muskogee County, OK"
"Musselshell County, MT"
"Myrtle Beach-North Myrtle Beach-Conway, SC HUD Metro FMR Area"
"Nacogdoches County, TX"
"Nance County, NE"
"Nantucket County, MA"
"Napa, CA MSA"
"Naples-Immokalee-Marco Island, FL MSA"
"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area"
"Nassau-Suffolk, NY HUD Metro FMR Area"
"Natchitoches Parish, LA"
"Navajo County, AZ"
"Navarro County, TX"
"Nelson County, KY"
"Nelson County, ND"
"Nemaha County, KS"
"Nemaha County, NE"
"Neosho County, KS"
"Neshoba County, MS"
"Ness County, KS"
"Nevada County, AR"
"Nevada County, CA"
"New Madrid County, MO"
"New Orleans-Metairie, LA HUD Metro FMR Area"
"New York, NY HUD Metro FMR Area"
"Newark, NJ HUD Metro FMR Area"
"Newaygo County, MI"
"Newberry County, SC"
"Newton County, AR"
"Newton County, MS"
"Newton County, TX HUD Metro FMR Area"
"Nicholas County, KY"
"Nicholas County, WV"
"Niles-Benton Harbor, MI MSA"
"Niobrara County, WY"
"Noble County, IN"
"Noble County, OH"
"Noble County, OK"
"Nobles County, MN"
"Nodaway County, MO"
"Nolan County, TX"
"Nome Census Area, AK"
"Norman County, MN"
"North Port-Sarasota-Bradenton, FL MSA"
"North Slope Borough, AK"
"Northampton County, NC"
"Northampton County, VA"
"Northumberland County, PA"
"Northumberland County, VA"
"Northwest Arctic Borough, AK"
"Norton County, KS"
"Norwich-New London, CT HUD Metro FMR Area | Colchester-Lebanon, CT HUD Metro FMR Area |  |"
"Nottoway County, VA"
"Nowata County, OK"
"Noxubee County, MS"
"Nuckolls County, NE"
"Nye County, NV"
"O'Brien County, IA"
"Oakland-Fremont, CA HUD Metro FMR Area"
"Obion County, TN"
"Ocala, FL MSA"
"Ocean City, NJ MSA"
"Oceana County, MI"
"Ochiltree County, TX"
"Oconee County, SC"
"Oconto County, WI HUD Metro FMR Area"
"Odessa, TX MSA"
"Ogden-Clearfield, UT HUD Metro FMR Area"
"Ogemaw County, MI"
Oglala Lakota County
"Ogle County, IL"
"Ohio County, KY"
"Okanogan County, WA"
"Okeechobee County, FL"
"Okfuskee County, OK"
"Oklahoma City, OK HUD Metro FMR Area"
"Okmulgee County, OK HUD Metro FMR Area"
"Oktibbeha County, MS"
"Oldham County, TX HUD Metro FMR Area"
"Oliver County, ND HUD Metro FMR Area"
"Olympia-Tumwater, WA MSA"
"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area"
"Oneida County, ID"
"Oneida County, WI"
"Ontonagon County, MI"
"Orange County, IN"
"Orange County, VA"
"Orange County, VT"
"Orangeburg County, SC"
"Oregon County, MO"
"Orlando-Kissimmee-Sanford, FL MSA"
"Orleans County, VT"
"Osborne County, KS"
"Osceola County, IA"
"Osceola County, MI"
"Oscoda County, MI"
"Oshkosh-Neenah, WI MSA"
"Otero County, CO"
"Otero County, NM"
"Otoe County, NE"
"Otsego County, MI"
"Otsego County, NY"
"Ottawa County, KS"
"Ottawa County, OH"
"Ottawa County, OK"
"Otter Tail County, MN"
"Ouachita County, AR"
"Ouray County, CO"
"Overton County, TN"
"Owen County, IN HUD Metro FMR Area"
"Owen County, KY"
"Owensboro, KY MSA"
"Owsley County, KY"
"Oxford County, ME"
"Oxnard-Thousand Oaks-Ventura, CA MSA"
"Ozark County, MO"
"Pacific County, WA"
"Page County, IA"
"Page County, VA"
"Palm Bay-Melbourne-Titusville, FL MSA"
"Palm Coast, FL HUD Metro FMR Area"
"Palo Alto County, IA"
"Palo Pinto County, TX"
"Pamlico County, NC HUD Metro FMR Area"
"Panama City-Lynn Haven-Panama City Beach, FL HUD Metro FMR Area"
"Panola County, MS"
"Panola County, TX"
"Park County, MT"
"Park County, WY"
"Parke County, IN"
"Parkersburg-Vienna, WV MSA"
"Parmer County, TX"
"Pascagoula, MS HUD Metro FMR Area"
"Pasquotank County, NC"
"Patrick County, VA"
"Paulding County, OH"
"Pawnee County, KS"
"Pawnee County, NE"
"Pawnee County, OK HUD Metro FMR Area"
"Payette County, ID"
"Payne County, OK"
"Peach County, GA HUD Metro FMR Area"
"Pearl River County, MS"
"Pecos County, TX"
"Pembina County, ND"
"Pemiscot County, MO"
"Pend Oreille County, WA HUD Metro FMR Area"
"Pender County, NC HUD Metro FMR Area"
"Pendleton County, WV"
"Pennington County, MN"
"Pensacola-Ferry Pass-Brent, FL MSA"
"Peoria, IL MSA"
"Pepin County, WI"
"Perkins County, NE"
"Perkins County, SD"
"Perquimans County, NC"
"Perry County, AL"
"Perry County, IL"
"Perry County, IN"
"Perry County, KY"
"Perry County, MO"
"Perry County, OH HUD Metro FMR Area"
"Perry County, TN"
"Pershing County, NV"
"Person County, NC HUD Metro FMR Area"
Petersburg Borough
"Petroleum County, MT"
"Pettis County, MO"
"Phelps County, MO"
"Phelps County, NE"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"Phillips County, AR"
"Phillips County, CO"
"Phillips County, KS"
"Phillips County, MT"
"Phoenix-Mesa-Scottsdale, AZ MSA"
"Pickens County, AL HUD Metro FMR Area"
"Pickett County, TN"
"Pierce County, GA"
"Pierce County, ND"
"Pierce County, NE"
"Pike County, AL"
"Pike County, AR"
"Pike County, IL"
"Pike County, IN"
"Pike County, KY"
"Pike County, MO"
"Pike County, MS"
"Pike County, OH"
"Pike County, PA HUD Metro FMR Area"
"Pine Bluff, AR MSA"
"Pine County, MN"
"Pipestone County, MN"
"Piscataquis County, ME"
"Pitkin County, CO"
"Pittsburg County, OK"
"Pittsburgh, PA HUD Metro FMR Area"
"Pittsfield, MA HUD Metro FMR Area | Berkshire County, MA (part) HUD Metro FMR Area |  |"
"Pittsylvania County-Danville city, VA HUD Nonmetro FMR Area"
"Piute County, UT"
"Platte County, NE"
"Platte County, WY"
"Pleasants County, WV"
"Plumas County, CA"
"Plymouth County, IA HUD Metro FMR Area"
"Pocahontas County, IA"
"Pocahontas County, WV"
"Pocatello, ID MSA"
"Poinsett County, AR HUD Metro FMR Area"
"Polk County, AR"
"Polk County, GA"
"Polk County, MO HUD Metro FMR Area"
"Polk County, NC"
"Polk County, NE"
"Polk County, TX"
"Polk County, WI"
"Pondera County, MT"
"Pontotoc County, MS"
"Pontotoc County, OK"
"Pope County, AR"
"Pope County, IL"
"Pope County, MN"
"Port St. Lucie, FL MSA"
"Portage County, WI"
"Portland, ME HUD Metro FMR Area | Cumberland County, ME (part) HUD Metro FMR Area |  |"
"Portland, ME HUD Metro FMR Area | York-Kittery-South Berwick, ME HUD Metro FMR Area | York County, ME (part) HUD Metro FMR Area |"
"Portland-Vancouver-Hillsboro, OR-WA MSA"
"Portsmouth-Rochester, NH HUD Metro FMR Area"
"Pottawatomie County, OK"
"Potter County, PA"
"Potter County, SD"
"Poughkeepsie-Newburgh-Middletown, NY HUD Metro FMR Area"
"Powder River County, MT"
"Powell County, KY"
"Powell County, MT"
"Power County, ID"
"Poweshiek County, IA"
"Prairie County, AR"
"Prairie County, MT"
"Pratt County, KS"
"Preble County, OH"
"Prentiss County, MS"
"Prescott, AZ MSA"
"Presidio County, TX"
"Presque Isle County, MI"
"Price County, WI"
"Prince Edward County, VA"
"Prince of Wales-Hyder Census Area, AK"
"Providence-Fall River, RI-MA HUD Metro FMR Area"
"Providence-Fall River, RI-MA HUD Metro FMR Area | Newport-Middleton-Portsmouth, RI HUD Metro FMR Area |  |"
"Providence-Fall River, RI-MA HUD Metro FMR Area | Taunton-Mansfield-Norton, MA HUD Metro FMR Area | Easton-Raynham, MA HUD Metro FMR Area | New Bedford, MA HUD Metro FMR Area"
"Providence-Fall River, RI-MA HUD Metro FMR Area | Westerly-Hopkinton-New Shoreham, RI HUD Metro FMR Area |  |"
"Provo-Orem, UT MSA"
"Prowers County, CO"
"Pueblo, CO MSA"
"Pulaski County, GA HUD Metro FMR Area"
"Pulaski County, IL"
"Pulaski County, IN"
"Pulaski County, KY"
"Pulaski County, MO"
"Pulaski County, VA HUD Metro FMR Area"
"Punta Gorda, FL MSA"
"Pushmataha County, OK"
"Putnam County, FL"
"Putnam County, GA"
"Putnam County, IL"
"Putnam County, IN HUD Metro FMR Area"
"Putnam County, MO"
"Putnam County, OH"
"Putnam County, TN"
"Putnam County, WV HUD Metro FMR Area"
"Quay County, NM"
"Quitman County, GA"
"Quitman County, MS"
"Rabun County, GA"
"Racine, WI MSA"
"Rains County, TX"
"Raleigh County, WV HUD Metro FMR Area"
"Raleigh, NC MSA"
"Ralls County, MO"
"Ramsey County, ND"
"Randolph County, AL"
"Randolph County, AR"
"Randolph County, GA"
"Randolph County, IL"
"Randolph County, IN"
"Randolph County, MO"
"Randolph County, WV"
"Ransom County, ND"
"Rapid City, SD HUD Metro FMR Area"
"Rappahannock County, VA HUD Metro FMR Area"
"Ravalli County, MT"
"Rawlins County, KS"
"Reading, PA MSA"
"Reagan County, TX"
"Real County, TX"
"Red Lake County, MN"
"Red River County, TX"
"Red River Parish, LA"
"Red Willow County, NE"
"Redding, CA MSA"
"Redwood County, MN"
"Reeves County, TX"
"Refugio County, TX"
"Reno County, KS"
"Reno, NV MSA"
"Renville County, MN"
"Renville County, ND"
"Republic County, KS"
"Reynolds County, MO"
"Rhea County, TN"
"Rice County, KS"
"Rice County, MN"
"Rich County, UT"
"Richardson County, NE"
"Richland County, IL"
"Richland County, MT"
"Richland County, ND"
"Richland County, WI"
"Richland Parish, LA"
"Richmond County, NC"
"Richmond County, VA"
"Richmond, VA MSA"
"Ringgold County, IA"
"Rio Arriba County, NM"
"Rio Blanco County, CO"
"Rio Grande County, CO"
"Ripley County, IN"
"Ripley County, MO"
"Ritchie County, WV"
"Riverside-San Bernardino-Ontario, CA MSA"
"Roane County, TN HUD Metro FMR Area"
"Roane County, WV"
"Roanoke, VA HUD Metro FMR Area"
"Roberts County, SD"
"Roberts County, TX"
"Robertson County, KY"
"Robeson County, NC"
"Rochester, MN HUD Metro FMR Area"
"Rochester, NY HUD Metro FMR Area"
"Rock County, MN"
"Rock County, NE"
"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetr"
"Rockcastle County, KY"
"Rockford, IL MSA"
"Rockingham County, NC HUD Metro FMR Area"
"Rocky Mount, NC MSA"
"Roger Mills County, OK"
"Rolette County, ND"
"Rome, GA MSA"
"Rooks County, KS"
"Roosevelt County, MT"
"Roosevelt County, NM"
"Roscommon County, MI"
"Roseau County, MN"
"Rosebud County, MT"
"Ross County, OH"
"Routt County, CO"
"Rowan County, KY"
"Rowan County, NC HUD Metro FMR Area"
"Runnels County, TX"
"Rush County, IN"
"Rush County, KS"
"Rusk County, TX HUD Metro FMR Area"
"Rusk County, WI"
"Russell County, KS"
"Russell County, KY"
"Russell County, VA"
"Rutherford County, NC"
"Rutland County, VT"
"Sabine County, TX"
"Sabine Parish, LA"
"Sac County, IA"
"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area"
"Sagadahoc County, ME HUD Metro FMR Area"
"Saginaw, MI MSA"
"Saguache County, CO"
"Salem, OR MSA"
"Salinas, CA MSA"
